date,count,count2,count3
10/25/03,26,26,2
10/26/03,17,15,5
10/27/03,18,25,1
10/28/03,10,11,16
10/29/03,8,3,25
10/30/03,18,6,14
10/31/03,6,12,17
11/01/03,7,16,14
11/02/03,1,8,9
11/03/03,3,20,29
11/04/03,19,8,30
11/05/03,1,12,7
11/06/03,25,25,10
11/07/03,23,11,7
11/08/03,8,13,23
11/09/03,19,10,30
11/10/03,13,18,16
11/11/03,19,29,22
11/12/03,18,11,15
11/13/03,10,3,3
11/14/03,29,15,30
11/15/03,20,17,12
11/16/03,27,10,26
11/17/03,2,17,2
11/18/03,18,6,10
11/19/03,3,14,4
11/20/03,14,14,18
11/21/03,3,2,4
11/22/03,26,6,24
11/23/03,10,24,6
11/24/03,30,16,3
11/25/03,24,29,17
11/26/03,23,20,8
11/27/03,20,21,8
11/28/03,6,10,18
11/29/03,24,2,11
11/30/03,18,4,9
12/01/03,22,13,22
12/02/03,12,30,19
12/03/03,11,18,26
12/04/03,7,26,15
12/05/03,21,29,26
12/06/03,25,30,23
12/07/03,18,26,22
12/08/03,9,23,7
12/09/03,22,18,22
12/10/03,14,19,11
12/11/03,26,1,11
12/12/03,22,11,27
12/13/03,14,4,24
12/14/03,5,14,8
12/15/03,17,2,24
12/16/03,6,22,28
12/17/03,18,14,4
12/18/03,26,1,24
12/19/03,21,7,5
12/20/03,20,16,8
12/21/03,20,8,18
12/22/03,27,28,20
12/23/03,18,7,2
12/24/03,29,12,1
12/25/03,21,8,10
12/26/03,12,11,3
12/27/03,4,17,2
12/28/03,2,9,7
12/29/03,13,3,8
12/30/03,22,29,21
12/31/03,29,26,5
01/01/04,28,8,9
01/02/04,5,8,29
01/03/04,1,16,16
01/04/04,1,3,12
01/05/04,19,13,25
01/06/04,19,9,6
01/07/04,26,16,9
01/08/04,22,15,4
01/09/04,28,25,8
01/10/04,20,3,9
01/11/04,22,10,14
01/12/04,9,4,25
01/13/04,9,8,19
01/14/04,10,13,12
01/15/04,7,15,17
01/16/04,15,16,10
01/17/04,3,22,8
01/18/04,7,29,25
01/19/04,13,1,18
01/20/04,22,28,24
01/21/04,2,12,23
01/22/04,2,2,27
01/23/04,1,28,26
01/24/04,6,10,6
01/25/04,17,4,19
01/26/04,12,3,19
01/27/04,15,28,11
01/28/04,26,9,7
01/29/04,12,18,15
01/30/04,12,29,12
01/31/04,7,6,11
02/01/04,5,17,21
02/02/04,8,20,23
02/03/04,17,17,16
02/04/04,30,25,27
02/05/04,14,15,22
02/06/04,28,8,12
02/07/04,5,22,15
02/08/04,9,25,2
02/09/04,11,2,5
02/10/04,25,5,27
02/11/04,28,3,30
02/12/04,21,29,19
02/13/04,30,22,7
02/14/04,11,25,26
02/15/04,1,28,25
02/16/04,1,26,13
02/17/04,20,19,19
02/18/04,12,20,17
02/19/04,30,4,1
02/20/04,28,14,1
02/21/04,6,10,21
02/22/04,12,2,19
02/23/04,28,24,23
02/24/04,3,15,21
02/25/04,30,6,28
02/26/04,26,3,21
02/27/04,7,24,24
02/28/04,17,20,21
02/29/04,25,5,27
03/01/04,16,9,30
03/02/04,27,1,13
03/03/04,3,15,19
03/04/04,8,6,29
03/05/04,22,29,26
03/06/04,24,27,12
03/07/04,5,11,28
03/08/04,16,14,3
03/09/04,16,15,25
03/10/04,14,29,9
03/11/04,6,26,14
03/12/04,1,15,21
03/13/04,14,5,21
03/14/04,4,6,4
03/15/04,4,24,13
03/16/04,2,28,17
03/17/04,14,4,14
03/18/04,8,24,10
03/19/04,29,30,9
03/20/04,11,11,8
03/21/04,16,8,20
03/22/04,13,25,22
03/23/04,27,29,30
03/24/04,23,9,3
03/25/04,15,20,14
03/26/04,14,9,22
03/27/04,6,11,18
03/28/04,16,28,1
03/29/04,10,1,5
03/30/04,30,21,20
03/31/04,2,12,21
04/01/04,14,13,15
04/02/04,30,30,20
04/03/04,15,9,10
04/04/04,3,30,23
04/05/04,7,14,16
04/06/04,3,24,6
04/07/04,14,14,7
04/08/04,22,10,21
04/09/04,19,16,22
04/10/04,11,12,28
04/11/04,11,13,11
04/12/04,4,25,3
04/13/04,3,29,2
04/14/04,9,13,1
04/15/04,23,5,10
04/16/04,17,1,4
04/17/04,25,13,8
04/18/04,21,9,11
04/19/04,2,5,1
04/20/04,26,15,6
04/21/04,27,1,4
04/22/04,7,3,24
04/23/04,23,9,5
04/24/04,26,28,28
04/25/04,7,15,11
04/26/04,11,20,12
04/27/04,9,16,13
04/28/04,13,17,9
04/29/04,8,29,14
04/30/04,27,23,25
05/01/04,13,25,5
05/02/04,30,24,18
05/03/04,3,7,8
05/04/04,7,16,21
05/05/04,23,16,11
05/06/04,10,22,22
05/07/04,13,21,27
05/08/04,27,22,13
05/09/04,14,30,7
05/10/04,3,5,6
05/11/04,29,21,25
05/12/04,10,3,30
05/13/04,24,15,14
05/14/04,2,19,18
05/15/04,27,5,29
05/16/04,7,17,13
05/17/04,6,14,29
05/18/04,26,28,18
05/19/04,27,23,17
05/20/04,9,3,18
05/21/04,11,12,24
05/22/04,3,26,20
05/23/04,7,18,17
05/24/04,5,17,28
05/25/04,18,15,1
05/26/04,12,25,29
05/27/04,19,4,9
05/28/04,18,20,21
05/29/04,2,21,25
05/30/04,9,16,16
05/31/04,6,25,30
06/01/04,18,11,24
06/02/04,3,1,18
06/03/04,29,19,7
06/04/04,24,13,29
06/05/04,16,25,12
06/06/04,15,1,26
06/07/04,14,4,9
06/08/04,7,4,5
06/09/04,18,17,25
06/10/04,21,6,11
06/11/04,29,3,30
06/12/04,16,7,30
06/13/04,28,4,24
06/14/04,29,14,7
06/15/04,16,4,12
06/16/04,11,12,3
06/17/04,25,3,22
06/18/04,16,25,2
06/19/04,6,13,28
06/20/04,8,23,11
