county_id,county_name,state,population
51019,Bedford County,Virginia,45444
6037,Los Angeles County,California,59274
17031,Cook County,Illinois,58655
48201,Harris County,Texas,76502
4013,Maricopa County,Arizona,73324
6073,San Diego County,California,44839
6059,Orange County,California,60971
12086,Miami-Dade County,Florida,52010
36047,Kings County,New York,78128
48113,Dallas County,Texas,59110
36081,Queens County,New York,64223
6065,Riverside County,California,52860
6071,San Bernardino County,California,52541
53033,King County,Washington,48826
32003,Clark County,Nevada,40520
48439,Tarrant County,Texas,46348
6085,Santa Clara County,California,64108
12011,Broward County,Florida,75705
48029,Bexar County,Texas,76963
26163,Wayne County,Michigan,48515
36061,New York County,New York,76964
6001,Alameda County,California,74582
42101,Philadelphia County,Pennsylvania,54701
25017,Middlesex County,Massachusetts,52153
36103,Suffolk County,New York,71372
6067,Sacramento County,California,46773
36005,Bronx County,New York,60301
12099,Palm Beach County,Florida,67317
36059,Nassau County,New York,45840
12057,Hillsborough County,Florida,66792
39035,Cuyahoga County,Ohio,64802
26125,Oakland County,Michigan,70926
42003,Allegheny County,Pennsylvania,65138
12095,Orange County,Florida,71748
39049,Franklin County,Ohio,50497
27053,Hennepin County,Minnesota,69494
51059,Fairfax County,Virginia,77052
48453,Travis County,Texas,76381
6013,Contra Costa County,California,63002
49035,Salt Lake County,Utah,68427
24031,Montgomery County,Maryland,54688
13121,Fulton County,Georgia,60494
29189,St. Louis County,Missouri,58534
4019,Pima County,Arizona,53094
37119,Mecklenburg County,North Carolina,72315
15003,Honolulu,Hawai,62505
37183,Wake County,North Carolina,63329
36119,Westchester County,New York,61985
55079,Milwaukee County,Wisconsin,40270
6019,Fresno County,California,44117
9001,Fairfield County,Connecticut,72364
47157,Shelby County,Tennessee,66545
17043,DuPage County,Illinois,49618
12103,Pinellas County,Florida,60206
18097,Marion County,Indiana,41176
34003,Bergen County,New Jersey,59582
36029,Erie County,New York,63728
9003,Hartford County,Connecticut,57562
24033,Prince George's County,Maryland,67657
12031,Duval County,Florida,77369
6029,Kern County,California,55355
9009,New Haven County,Connecticut,53380
13135,Gwinnett County,Georgia,47637
48085,Collin County,Texas,63912
26099,Macomb County,Michigan,52799
6111,Ventura County,California,53249
6075,San Francisco,California,49922
34023,Middlesex County,New Jersey,72166
48141,El Paso County,Texas,49216
24005,Baltimore County,Maryland,41869
53053,Pierce County,Washington,77172
48215,Hidalgo County,Texas,65776
42091,Montgomery County,Pennsylvania,70798
25027,Worcester County,Massachusetts,46734
39061,Hamilton County,Ohio,57600
34013,Essex County,New Jersey,62870
41051,Multnomah County,Oregon,78015
25009,Essex County,Massachusetts,45337
21111,Jefferson County,Kentucky,68520
25025,Suffolk County,Massachusetts,63882
40109,Oklahoma County,Oklahoma,67261
36055,Monroe County,New York,49031
6081,San Mateo County,California,54835
53061,Snohomish County,Washington,41563
48121,Denton County,Texas,43664
13067,Cobb County,Georgia,73314
13089,DeKalb County,Georgia,44214
6077,San Joaquin County,California,73384
17097,Lake County,Illinois,52284
25021,Norfolk County,Massachusetts,73621
17197,Will County,Illinois,63975
29095,Jackson County,Missouri,52975
35001,Bernalillo County,New Mexico,46677
12071,Lee County,Florida,63160
